component,train_R^2,train_RMSE,train_NRMSE,train_Pear,train_Spea,test_R^2,test_RMSE,test_NRMSE,test_Pear,test_Spea
1,0.678017661,0.260001388,0.567219284,0.82334606,0.799671718,0.348659297,0.352908164,0.796828187,0.673275397,0.646568627
2,0.878128589,0.159973714,0.34889795,0.937074999,0.93756537,0.447453708,0.328616733,0.740144876,0.757084099,0.681862745
3,0.943161525,0.109033901,0.237823733,0.971156741,0.975111654,0.472349964,0.322564471,0.721842501,0.766566434,0.68627451
4,0.980308819,0.063912931,0.139132421,0.990102207,0.984876131,0.460920284,0.326378118,0.730949595,0.761281208,0.680392157
5,0.991087902,0.042997255,0.09367834,0.995533411,0.992640379,0.429491287,0.335445891,0.752465464,0.745139636,0.676960784
6,0.996039956,0.028788498,0.062712249,0.998017959,0.995152117,0.413596527,0.339488479,0.762371818,0.737391006,0.658823529
7,0.997971091,0.020619981,0.044852121,0.998985011,0.99702256,0.413192315,0.340105579,0.76278678,0.735167414,0.660294118
8,0.998880118,0.015176337,0.032948418,0.999439883,0.998045578,0.413256413,0.339928225,0.762623324,0.735935056,0.660294118
9,0.999304451,0.011895061,0.025826549,0.999652156,0.998496011,0.413376988,0.340048313,0.762475567,0.734920964,0.659313725
10,0.999570407,0.009315615,0.020231015,0.999785177,0.998984617,0.41275659,0.340263904,0.762760008,0.734207319,0.659313725
